Term,Definition,Alphabet,Slug,URL,Image
AJAX,Asynchronous JavaScript and XML; technique to update parts of a web page without reloading the page.,A,,,
Algorithm,A step-by-step procedure or set of rules to solve a problem or perform a computation.,A,,,
API,Application Programming Interface; a set of protocols for building and interacting with software applications.,A,,,
App,Short for application; software designed to perform a specific task for the user.,A,,,
Array,A data structure that stores a collection of elements at contiguous memory locations.,A,,,
ASCII,American Standard Code for Information Interchange; a character encoding standard for text.,A,,,
Asynchronous,"Operations that occur independently of the main program flow, often used in programming for non-blocking tasks.",A,,,
Authentication,"The process of verifying the identity of a user, device, or system.",A,,,
Authorization,The process of granting or denying access to resources based on user permissions.,A,,,
Angular,A TypeScript-based frontend framework for building dynamic web applications.,A,,,
Artificial Intelligence (AI),"The simulation of human intelligence processes by machines, especially computer systems.",A,,,
API Gateway,"A server that acts as an API front-end, handling requests, routing, and policy enforcement.",A,,,
Agile,"A methodology for software development that promotes iterative progress, collaboration, and flexibility.",A,,,
ArrayList,A resizable array implementation in Java and other languages for storing dynamic lists of elements.,A,,,
ASCII Art,A graphic design technique using printable characters from the ASCII standard.,A,,,
Atom,"A basic unit of matter in science; in programming, Atom can also refer to the text editor used for coding.",A,,,
Attribute,"A property or characteristic of an object or element in programming and web development (e.g., HTML attributes).",A,,,
Automation,The use of technology to perform tasks with minimal human intervention.,A,,,
AWS,"Amazon Web Services; a cloud computing platform providing storage, databases, computing power, and more.",A,,,
Azure,"Microsoft’s cloud computing platform for building, deploying, and managing applications and services.",A,,,
Access Control,Security technique that restricts access to resources based on user identity and permissions.,A,,,
Adapter Pattern,A design pattern that allows incompatible interfaces to work together by converting one interface into another.,A,,,
API Rate Limiting,Restricting the number of API requests a client can make in a given time period to prevent abuse.,A,,,
Authentication Token,A piece of data used to verify the identity of a user or system in API requests.,A,,,
Atomic Operation,"An operation that completes entirely or not at all, preventing inconsistent states in programming.",A,,,
Augmented Reality (AR),An interactive experience combining digital elements with the real world.,A,,,
Authorization Header,HTTP header used to pass credentials or tokens for API authentication.,A,,,
API Endpoint,A specific URL where an API can be accessed by a client to perform operations or retrieve data.,A,,,
API Versioning,Technique to manage changes in APIs while maintaining backward compatibility.,A,,,
Arithmetic Operator,"Symbols in programming used for mathematical operations, like +, -, *, /.",A,,,
Array Comprehension,A concise way to create arrays or lists in programming languages like Python.,A,,,
Async/Await,Syntax in JavaScript and Python for handling asynchronous operations more clearly.,A,,,
ASCII Table,A table showing the numeric codes corresponding to ASCII characters.,A,,,
API Documentation,"Detailed information about how to use an API, including endpoints, parameters, and responses.",A,,,
Agile Sprint,A time-boxed iteration in Agile development where a set of work is completed.,A,,,
API Key,A unique identifier used to authenticate a client or application when accessing an API.,A,,,
API Client,A software or library that sends requests and receives responses from an API.,A,,,
Application Layer,"The top layer in networking that interfaces with end-user applications, e.g., HTTP, FTP.",A,,,
Active Directory,"Microsoft’s directory service for managing users, computers, and resources in a network.",A,,,
ASCII Encoding,Method to represent text characters as numeric codes using ASCII standard.,A,,,
Abstract Class,A class in programming that cannot be instantiated and is meant to be subclassed.,A,,,
Adapter,A software component that allows two incompatible interfaces to work together.,A,,,
API Client Library,A set of functions or classes that simplify making API requests from a programming language.,A,,,
Access Token,A credential used to access protected resources in authentication systems like OAuth.,A,,,
Attribute Selector,"In CSS, a selector that targets elements based on attribute values.",A,,,
API Throttling,Limiting the number of requests a client can make to prevent server overload.,A,,,
Atomic Transaction,A database transaction that is indivisible and maintains consistency.,A,,,
API Response,Data returned by an API endpoint after a request is processed.,A,,,
Application Server,A server that hosts applications and handles business logic between clients and databases.,A,,,
Async Task,"A background operation executed asynchronously, often in web frameworks like Django or Flask.",A,,,
Attribute Binding,Connecting a variable to a property of a UI element in frontend frameworks like Angular or Vue.,A,,,
API Contract,The agreement between an API provider and consumer about request/response structure and behavior.,A,,,
Application Programming,The practice of designing and writing software applications.,A,,,
API Gateway Pattern,Architectural pattern where a single entry point handles API requests and routing.,A,,,
Algorithm Complexity,A measure of how the resource usage (time/memory) of an algorithm grows with input size.,A,,,
Backend,"The server-side of a web application that handles data, business logic, and database interactions.",B,,,
Binary,"A numbering system using only 0 and 1, fundamental to computer systems.",B,,,
Bit,"The smallest unit of data in computing, representing 0 or 1.",B,,,
Boolean,A data type that can only have two values: True or False.,B,,,
Blockchain,"A decentralized, distributed ledger technology for recording transactions securely.",B,,,
Bootstrap,A popular CSS framework for designing responsive and mobile-first web pages.,B,,,
Bug,An error or flaw in software that causes unexpected behavior or failure.,B,,,
Buffer,A temporary memory storage used to hold data while it’s being transferred or processed.,B,,,
Backend Framework,"Software frameworks used to build the server side of applications, e.g., Django, Flask, FastAPI.",B,,,
Branch,A version of code in a version control system (like Git) used for development.,B,,,
Browser,Software that allows users to access and interact with web pages.,B,,,
Build Tool,"Software used to automate the process of compiling, bundling, and deploying code.",B,,,
Bash,A Unix shell and command language commonly used for scripting and automation.,B,,,
Base Class,A class in object-oriented programming from which other classes inherit.,B,,,
Binding,"In programming, connecting a variable or function to another element, e.g., data binding in Angular.",B,,,
Batch Processing,Executing a series of tasks or jobs automatically without user interaction.,B,,,
Big Data,Extremely large datasets that require specialized tools to process and analyze.,B,,,
BIOS,Basic Input/Output System; firmware that initializes hardware during booting.,B,,,
Byte,A unit of digital information typically consisting of 8 bits.,B,,,
Backend API,The API exposed by the server-side of an application for client communication.,B,,,
Base URL,The root URL used as the starting point for API endpoints or web routing.,B,,,
Buffer Overflow,"A security issue where excess data overflows memory boundaries, potentially allowing exploits.",B,,,
Benchmark,"A test used to measure the performance of software, hardware, or algorithms.",B,,,
Blob,Binary Large Object; a data type used to store large binary data like images or videos in databases.,B,,,
Background Job,"A task executed asynchronously in the background, often in web frameworks.",B,,,
Branching Strategy,"A plan for managing code branches in version control, e.g., GitFlow.",B,,,
Build Pipeline,"An automated sequence of steps to build, test, and deploy software.",B,,,
Browser Compatibility,Ensuring a website or app works consistently across different web browsers.,B,,,
Bootstrap Grid,The grid system in Bootstrap used for creating responsive layouts.,B,,,
Binding Context,The environment or object to which a function or variable is bound in programming.,B,,,
Bytecode,Intermediate code generated by compilers (like Python or Java) executed by a virtual machine.,B,,,
Binary Search,An efficient algorithm for finding an element in a sorted list by repeatedly dividing the search interval.,B,,,
Backpropagation,An algorithm used to train neural networks by adjusting weights based on error.,B,,,
Bandwidth,The maximum data transfer rate of a network or internet connection.,B,,,
Base64,A method of encoding binary data into text using 64 ASCII characters.,B,,,
Browser Storage,"Storage options like LocalStorage, SessionStorage, and IndexedDB for web applications.",B,,,
Bot,Software that automates tasks or simulates human activity online.,B,,,
Bootstrap Component,"Prebuilt UI elements in Bootstrap like buttons, navbars, and modals.",B,,,
Buffering,"Temporarily storing data before processing or displaying, e.g., in video streaming.",B,,,
Backward Compatibility,Ensuring new software versions work with data or systems from older versions.,B,,,
Bucket,A storage container in cloud services like AWS S3 or Google Cloud Storage.,B,,,
Build Artifact,"The output of a build process, such as compiled code or packaged files.",B,,,
Block Scope,"In programming, variables that are only accessible within a specific block or function.",B,,,
Branch Merge,Combining changes from one branch into another in version control.,B,,,
Big O Notation,A mathematical notation to describe the performance or complexity of algorithms.,B,,,
Binary Tree,A tree data structure where each node has at most two children.,B,,,
Breadcrumb,UI element that shows the navigation path in websites or apps.,B,,,
Base Template,"In templating engines like Django, a template that other templates extend.",B,,,
Binary File,A file that contains data in a format not intended to be human-readable.,B,,,
Cache,A storage layer that keeps frequently accessed data to speed up applications.,C,,,
CDN,Content Delivery Network; a distributed network of servers that delivers web content quickly.,C,,,
CSS,Cascading Style Sheets; a language used to style HTML elements on web pages.,C,,,
CLI,Command Line Interface; a text-based interface to interact with software or operating systems.,C,,,
Cloud Computing,"Delivering computing services (servers, storage, databases) over the internet.",C,,,
CRUD,"Create, Read, Update, Delete; the basic operations performed on database records.",C,,,
Compiler,A program that translates source code into machine code or bytecode.,C,,,
Constructor,A special method in programming used to initialize objects when they are created.,C,,,
Container,"A lightweight, portable unit that packages an application with its dependencies (e.g., Docker).",C,,,
CPU,Central Processing Unit; the hardware that executes instructions in a computer.,C,,,
Cloud Storage,"Remote storage hosted on cloud platforms like AWS S3, Google Cloud, or Azure.",C,,,
Callback,"A function passed as an argument to another function, executed after a task completes.",C,,,
Class,A blueprint for creating objects in object-oriented programming.,C,,,
Client,The software or system that requests services from a server.,C,,,
Cookie,Data stored by a web browser to remember user preferences or session information.,C,,,
Cloud Service,"Any service provided over the internet, like computing, storage, or APIs.",C,,,
Component,"A reusable piece of UI in frontend frameworks like React, Angular, or Vue.",C,,,
CPU Register,"A small, fast storage location inside the CPU for temporary data.",C,,,
Cross-Origin,Refers to resources requested from a different domain than the current web page.,C,,,
Concurrent,"Execution of multiple tasks at the same time, potentially overlapping in time.",C,,,
Configuration,Settings that control the behavior of software or applications.,C,,,
Controller,Part of MVC architecture that handles incoming requests and returns responses.,C,,,
Compression,Reducing the size of files or data for storage or transmission.,C,,,
Constructor Overloading,Defining multiple constructors in a class with different parameters.,C,,,
CSS Grid,"A layout system in CSS for creating complex, responsive web designs.",C,,,
CSS Flexbox,A CSS layout model for arranging elements in rows or columns efficiently.,C,,,
CORS,Cross-Origin Resource Sharing; a security feature that allows controlled access to resources from different domains.,C,,,
Cluster,A group of servers or computers working together as a single system.,C,,,
CPU Cycle,"One basic operation performed by the CPU, part of the processing of instructions.",C,,,
Continuous Integration,A software practice where code is regularly merged and tested automatically.,C,,,
Continuous Deployment,Automatically deploying code changes to production after passing tests.,C,,,
Cache Hit,"When requested data is found in the cache, speeding up access.",C,,,
Cache Miss,"When requested data is not in the cache, requiring retrieval from the main source.",C,,,
CSV,Comma-Separated Values; a file format for storing tabular data.,C,,,
Cyberspace,"The virtual environment of computer networks, especially the internet.",C,,,
Cybersecurity,"Protecting computer systems, networks, and data from digital attacks.",C,,,
CI/CD,Continuous Integration / Continuous Deployment; automated workflows for software development.,C,,,
Class Variable,A variable that is shared across all instances of a class.,C,,,
Client-Side,Operations performed in the user’s browser rather than on the server.,C,,,
Cloud Function,Serverless function executed on demand in cloud platforms.,C,,,
Component Lifecycle,"In frontend frameworks, the stages a component goes through from creation to destruction.",C,,,
Compile-Time,The period when source code is translated into executable code before running.,C,,,
Constraint,"A rule that restricts the values or structure of data, often in databases.",C,,,
CDN Edge Server,Servers in a CDN that are closest to the end user for faster content delivery.,C,,,
Concurrent Processing,Running multiple processes at the same time to improve efficiency.,C,,,
Command,An instruction given to a computer or program to perform a task.,C,,,
Cross-Platform,Software or code that can run on multiple operating systems or devices.,C,,,
CSS Selector,A pattern used to select HTML elements for styling in CSS.,C,,,
Code Review,"The process of examining code to find errors, improve quality, and maintain standards.",C,,,
Class Method,A method in a class that operates on the class itself rather than instances.,C,,,
Containerization,Packaging software with its dependencies to run reliably in different environments.,C,,,
Database,An organized collection of data stored electronically for easy access and management.,D,,,
Data Structure,A particular way of organizing and storing data for efficient access and modification.,D,,,
Debugging,The process of identifying and fixing errors or bugs in software code.,D,,,
Deployment,The process of delivering a software application to a production environment.,D,,,
Django,A high-level Python web framework for rapid development of secure and maintainable websites.,D,,,
DOM,Document Object Model; a programming interface for HTML and XML documents.,D,,,
Docker,"A platform for developing, shipping, and running applications in containers.",D,,,
Data Type,"A classification that specifies which type of value a variable can hold, e.g., integer, string.",D,,,
Design Pattern,A reusable solution to a common software design problem.,D,,,
Dependency,A software library or package that another piece of software relies on.,D,,,
DevOps,A set of practices combining software development and IT operations to improve delivery and quality.,D,,,
Distributed System,A system with multiple computers working together to appear as a single coherent system.,D,,,
Deep Learning,A subset of machine learning using neural networks with multiple layers.,D,,,
Data Analysis,"The process of inspecting, cleaning, and modeling data to discover useful information.",D,,,
Data Modeling,Designing how data is structured and related in a database system.,D,,,
Data Science,Field involving extraction of knowledge and insights from structured and unstructured data.,D,,,
Data Visualization,The graphical representation of data to communicate information clearly.,D,,,
Django REST Framework,A toolkit for building Web APIs in Django.,D,,,
Domain Name,A human-readable address used to identify websites on the internet.,D,,,
Domain-Driven Design,An approach to software development that focuses on the core business domain.,D,,,
Data Migration,The process of transferring data from one system or format to another.,D,,,
Debugger,"A tool used to inspect code, track variables, and identify issues during execution.",D,,,
Data Warehouse,A centralized repository for storing and analyzing large volumes of data.,D,,,
Distributed Database,A database in which data is stored across multiple physical locations.,D,,,
Dynamic Typing,A feature in programming languages where variable types are determined at runtime.,D,,,
Data Flow,The movement of data between components or processes in a system.,D,,,
Dependency Injection,A design pattern in which an object receives other objects it depends on.,D,,,
Data Binding,"Connecting UI elements to data sources so changes reflect automatically, e.g., in React or Angular.",D,,,
Domain,"A logical grouping or area of control, e.g., application domain or internet domain.",D,,,
Data Encryption,The process of converting data into a secure format to prevent unauthorized access.,D,,,
Data Integrity,"Ensuring data is accurate, consistent, and reliable over its lifecycle.",D,,,
Database Index,A structure that improves the speed of data retrieval operations on a database table.,D,,,
Docker Compose,A tool for defining and running multi-container Docker applications.,D,,,
Data Scientist,A professional who analyzes and interprets complex data to help decision-making.,D,,,
Design System,"A collection of reusable components, patterns, and guidelines for UI design.",D,,,
Data Lake,A storage repository holding vast amounts of raw data in its native format.,D,,,
Domain Controller,A server in Windows networks that manages security and user access in a domain.,D,,,
Data Dictionary,"Metadata repository describing the structure, relationships, and constraints of data.",D,,,
Data Packet,A unit of data transmitted over a network.,D,,,
Data Mining,Extracting patterns and knowledge from large datasets using algorithms and statistics.,D,,,
Data Science Pipeline,"The end-to-end process of collecting, cleaning, analyzing, and visualizing data.",D,,,
Data Compression,Reducing the size of data files for storage or transmission.,D,,,
DNS,Domain Name System; translates human-readable domain names into IP addresses.,D,,,
Database Trigger,A procedure that automatically executes in response to certain events on a database table.,D,,,
Data Repository,A central location where data is stored and maintained.,D,,,
Data Validation,Ensuring data meets defined rules and constraints before processing or storage.,D,,,
Data Normalization,Organizing database data to reduce redundancy and improve integrity.,D,,,
Data Pipeline,A series of processes that move and transform data from source to destination.,D,,,
Dependency Graph,A visual representation of dependencies among components or modules.,D,,,
Data Access Layer,The part of a software application that handles database interactions.,D,,,
Dynamic Web Page,A web page that generates content in real-time based on user interactions or data.,D,,,
Elasticsearch,A distributed search and analytics engine commonly used for large datasets.,E,,,
Embedded System,A computer system designed to perform dedicated functions within a larger device.,E,,,
Encryption,The process of encoding data to prevent unauthorized access.,E,,,
Endpoint,A URL or URI in an API where a client can access resources or services.,E,,,
Event Loop,A programming construct that waits for and dispatches events or messages in asynchronous programming.,E,,,
Exception,"An error or unusual condition that occurs during program execution, often handled by try/catch.",E,,,
Express.js,A minimal and flexible Node.js web application framework for building APIs and web apps.,E,,,
Entity,An object or concept in databases or software that represents data with attributes.,E,,,
Environment Variable,A variable defined in the operating system environment to configure applications.,E,,,
ES6,ECMAScript 6; a major version of JavaScript introducing modern syntax like arrow functions and classes.,E,,,
Event-Driven Programming,A programming paradigm where program flow is determined by events such as user actions.,E,,,
Exception Handling,The process of responding to and managing exceptions in software programs.,E,,,
Ethernet,A common networking technology for local area networks (LANs).,E,,,
Electron,A framework for building cross-platform desktop applications using web technologies.,E,,,
Embedded Python,Using Python to control or interact with embedded systems and microcontrollers.,E,,,
Event Handler,A function or method that responds to an event in programming.,E,,,
Entity-Relationship (ER) Diagram,A visual representation of entities and their relationships in a database.,E,,,
Encryption Key,A value used in encryption algorithms to encode and decode data.,E,,,
Event Sourcing,A design pattern where changes in application state are stored as a sequence of events.,E,,,
External Library,A third-party software package imported into a project to extend functionality.,E,,,
Elastic Load Balancer,A service that automatically distributes incoming traffic across multiple servers.,E,,,
Edge Computing,Processing data near the source of generation rather than in a centralized server.,E,,,
Embedded Linux,A Linux operating system tailored for embedded devices.,E,,,
Event Queue,A data structure that stores events waiting to be processed in event-driven systems.,E,,,
Environment,"The context in which software runs, such as development, testing, or production.",E,,,
Endpoint Security,Measures to protect endpoints (devices) from cyber threats.,E,,,
Encapsulation,An object-oriented principle that restricts access to an object's internal state.,E,,,
Event Listener,A procedure in programming that waits for and reacts to specific events.,E,,,
Entity Framework,An ORM (Object-Relational Mapper) for .NET that manages database access using objects.,E,,,
Escape Character,A character used to indicate that the following character should be interpreted differently.,E,,,
Event-Driven Architecture,A software architecture pattern where events trigger actions across decoupled services.,E,,,
Exponential Backoff,A strategy for retrying operations with increasing delays to avoid system overload.,E,,,
Endpoint Testing,Testing individual API endpoints to ensure they return the correct responses.,E,,,
Event Loop Blocking,When long-running operations prevent the event loop from processing other events.,E,,,
Expression,"A combination of variables, operators, and values that evaluates to a result.",E,,,
Event Delegation,A technique in JavaScript to handle events efficiently by attaching a single handler to a parent element.,E,,,
Embedded Database,A database system integrated into an application rather than running as a separate server.,E,,,
Error Handling,The process of managing errors and exceptions in code execution.,E,,,
Execution Context,The environment in which code is evaluated and executed in programming languages.,E,,,
Elastic Compute,Scalable cloud computing resources that can be dynamically allocated as needed.,E,,,
Endpoint Protection,Security software or measures applied to secure endpoints like computers and mobile devices.,E,,,
ETL,"Extract, Transform, Load; a process for moving data from sources to databases or data warehouses.",E,,,
Enum,A data type that defines a set of named values.,E,,,
Event Tracking,"Monitoring user interactions or system events, often in analytics or logging.",E,,,
Event Storming,A collaborative modeling technique for exploring and designing complex systems.,E,,,
Explicit Cast,Manually converting one data type into another in programming.,E,,,
Error Log,A record of errors or exceptions that occur in an application or system.,E,,,
Endpoint Monitoring,Observing API or service endpoints to ensure availability and performance.,E,,,
Event Propagation,The process by which an event travels through the DOM hierarchy in JavaScript.,E,,,
Entity Relationship Model,A conceptual representation of entities and relationships in database design.,E,,,
External API,An API provided by a third party that is consumed by your application.,E,,,
Firebase,"A platform by Google for building web and mobile apps with database, authentication, and hosting services.",F,,,
Flask,A lightweight Python web framework for building web applications and APIs.,F,,,
Frontend,"The part of a web application that users interact with directly, including UI and UX.",F,,,
Function,A reusable block of code that performs a specific task in programming.,F,,,
Functional Programming,A programming paradigm that treats computation as the evaluation of functions without side effects.,F,,,
Fetch API,A modern JavaScript API for making network requests to servers.,F,,,
Form Validation,The process of checking user input in forms for correctness before submission.,F,,,
Frontend Framework,"A software framework that simplifies building the user interface of web applications, e.g., React, Angular, Vue.",F,,,
File System,The method and data structures used by an operating system to manage files on storage devices.,F,,,
Foreign Key,A database field that links a record in one table to a record in another table.,F,,,
Font Awesome,A popular icon library used in web development.,F,,,
FTP,File Transfer Protocol; a standard network protocol used to transfer files between systems.,F,,,
Function Call,Executing a function in programming by specifying its name and passing required arguments.,F,,,
Form Handling,"Techniques for collecting, processing, and validating user input from forms.",F,,,
Frontend Routing,Managing navigation between pages or views in single-page applications.,F,,,
File Upload,"Sending a file from a client device to a server, often for storage or processing.",F,,,
Factory Pattern,A design pattern that creates objects without specifying the exact class to create.,F,,,
Front Controller,A design pattern where a single controller handles all requests in a web application.,F,,,
Fetch Request,A request sent to a server using the Fetch API or similar methods.,F,,,
Feature Flag,A technique to enable or disable application features without deploying new code.,F,,,
Flask Blueprint,A way to organize Flask applications into reusable modules.,F,,,
Favicon,"A small icon associated with a website, displayed in the browser tab.",F,,,
File Descriptor,An integer that uniquely identifies an open file or socket in an operating system.,F,,,
Functional Component,"In React, a component defined as a function rather than a class.",F,,,
Full Stack,Refers to a developer or technology stack that handles both frontend and backend development.,F,,,
File Path,The location of a file in a file system.,F,,,
Filter Function,A function that processes a collection and returns items that match certain conditions.,F,,,
FastAPI,"A modern, fast Python web framework for building APIs with automatic documentation.",F,,,
Flexbox,A CSS layout model for arranging elements in flexible rows or columns.,F,,,
Formatted String,"A string that includes placeholders for variables, often formatted at runtime.",F,,,
File Compression,Reducing the size of files using algorithms like ZIP or GZIP.,F,,,
Frontend State Management,Managing UI state in frontend applications using libraries like Redux or Vuex.,F,,,
Function Overloading,Defining multiple functions with the same name but different parameters.,F,,,
Function Scope,The area of a program where a function and its variables are accessible.,F,,,
File System Permissions,"Rules that define which users can read, write, or execute files.",F,,,
Feature Extraction,"In machine learning, the process of identifying relevant data attributes for models.",F,,,
Firewall,A network security system that monitors and controls incoming and outgoing traffic.,F,,,
File Extension,"The suffix at the end of a filename indicating its format, e.g., .txt, .py.",F,,,
Frontend Testing,Testing the user interface and interaction of web applications using tools like Jest or Cypress.,F,,,
Framework,A collection of libraries and tools providing structure for software development.,F,,,
File Handling,"Techniques in programming for reading, writing, and manipulating files.",F,,,
Flat File,"A simple database stored as a single file, usually plain text.",F,,,
Fetch API Response,The data returned by a server after a fetch request in JavaScript.,F,,,
Function Expression,A way of defining a function as part of an expression in programming.,F,,,
Function Decorator,"In Python, a function that modifies the behavior of another function.",F,,,
File Permissions,"Settings that determine who can read, write, or execute a file.",F,,,
File Locking,Mechanism to prevent concurrent access conflicts when multiple processes access the same file.,F,,,
Frontend Build Tool,"Software that compiles, bundles, and optimizes frontend code, e.g., Webpack or Vite.",F,,,
File Metadata,"Information about a file, such as creation date, size, and type.",F,,,
Firebase Authentication,"A Firebase service for authenticating users using email, password, or social logins.",F,,,
Floating Point,A numeric data type that represents real numbers with decimal points.,F,,,
Git,A distributed version control system used to track changes in source code.,G,,,
GitHub,A cloud-based platform for hosting Git repositories and collaborating on code.,G,,,
GitLab,"A web-based DevOps platform for Git repositories, CI/CD, and project management.",G,,,
GraphQL,"A query language and runtime for APIs, allowing clients to request only the data they need.",G,,,
GPU,Graphics Processing Unit; hardware specialized for rendering images and performing parallel computations.,G,,,
Garbage Collection,Automatic memory management process that frees unused memory in programming languages.,G,,,
GUI,Graphical User Interface; a visual interface that allows users to interact with software.,G,,,
Gradle,"A build automation tool for Java, Android, and other projects.",G,,,
Graph,A data structure consisting of nodes (vertices) and edges connecting them.,G,,,
Global Variable,A variable accessible from any part of the program.,G,,,
Git Branch,A separate line of development in Git used to manage features or experiments.,G,,,
Git Merge,Combining changes from one Git branch into another.,G,,,
